"y" "n" "arrond" "wf" "wn"
1 2 73 3319.97 1.527
0 2 73 3573.58 1.643
1 1 73 3268.933 1.503
1 1 73 3771.597 1.734
0 1 73 1639.217 0.754
0 3 73 1639.217 0.754
0 6 73 1505.451 0.692
1 5 73 1505.451 0.692
0 3 73 1793.032 0.825
3 4 73 1793.032 0.825
4 4 73 1655.357 0.761
1 3 73 1952.731 0.898
4 5 73 2211.971 1.017
1 3 73 2211.971 1.017
0 2 73 3228.47 1.485
1 2 73 3228.47 1.485
1 1 73 3706.752 1.705
0 1 73 4991.093 2.295
0 1 73 4690.567 2.157
0 1 81 2464.446 0.89
0 1 81 2464.446 0.89
0 1 81 2758.873 0.996
0 3 81 2491.654 0.899
1 2 81 2643.756 0.954
2 2 81 3950.442 1.426
1 1 81 4280.698 1.545
0 3 81 2543.329 0.918
0 1 81 2335.785 0.843
1 2 81 2335.785 0.843
0 2 81 2576.445 0.93
0 2 81 2576.445 0.93
0 1 81 2378.618 0.859
0 1 81 2491.864 0.899
0 2 81 2822.679 1.019
1 1 81 3944.48 1.424
1 1 82 3556.341 1.016
0 1 82 3354.399 0.959
0 1 82 3354.399 0.959
0 4 82 2894.149 0.827
1 3 82 3040.906 0.869
1 1 82 4270.262 1.22
1 2 82 3060.911 0.875
0 1 82 2906.884 0.831
0 3 82 2906.884 0.831
0 1 82 2683.684 0.767
0 1 82 2780.905 0.795
0 1 82 4295.196 1.228
0 1 82 4931.508 1.409
0 1 82 9297.843 2.657
0 2 84 2310.773 0.783
0 1 84 2586.841 0.876
0 1 84 2496.503 0.845
0 1 84 2496.503 0.845
0 2 84 2153.963 0.729
1 2 84 2332.439 0.79
0 1 84 2655.125 0.899
0 1 84 3698.479 1.253
0 1 84 4916.788 1.665
0 1 84 4497.634 1.523
0 3 84 2501.76 0.847
0 2 84 2297.609 0.778
1 1 84 2297.609 0.778
0 1 84 2231.585 0.756
0 2 84 2060.236 0.698
0 3 84 2470.776 0.837
0 1 84 2470.776 0.837
1 1 84 7785.087 2.637
0 1 84 7316.327 2.478
0 1 85 2143.338 0.893
0 2 85 2399.402 0.999
1 5 85 2399.402 0.999
0 1 85 2130.808 0.888
0 1 85 1838.445 0.766
0 2 85 2088.584 0.87
1 3 85 2377.533 0.99
1 3 85 2377.533 0.99
0 1 85 3078.029 1.282
1 2 85 2180.858 0.908
0 2 85 2180.858 0.908
0 1 85 2002.893 0.834
0 1 85 1924.08 0.801
0 1 85 1924.08 0.801
0 3 85 1776.343 0.74
0 2 85 2973.891 1.239
0 1 85 6542.071 2.725
0 4 91 1791.872 0.885
0 1 91 1791.872 0.885
0 2 91 2005.947 0.991
0 1 91 1909.661 0.943
1 1 91 1909.661 0.943
1 4 91 1647.641 0.814
0 1 91 1856.407 0.917
1 4 91 2113.236 1.044
0 3 91 2113.236 1.044
1 2 91 3050.879 1.507
1 1 91 3468.35 1.713
0 1 91 1937.041 0.957
0 3 91 1684.725 0.832
3 5 91 1684.725 0.832
1 5 91 1555.366 0.768
0 2 91 1772.024 0.875
0 3 91 2007.274 0.992
0 1 91 3010.153 1.487
1 1 91 5721.361 2.826
1 6 92 1571.524 0.798
0 9 92 1571.524 0.798
0 5 92 1759.274 0.893
0 8 92 1759.274 0.893
1 6 92 1780.08 0.904
1 8 92 1780.08 0.904
0 5 92 1535.839 0.78
2 5 92 1710.17 0.868
1 6 92 1946.767 0.988
1 6 92 1946.767 0.988
1 1 92 2731.31 1.386
2 4 92 2731.31 1.386
0 2 92 2650.156 1.345
0 1 92 3062.459 1.554
1 1 92 2801.386 1.422
1 1 92 2801.386 1.422
1 9 92 1662.343 0.844
1 4 92 1662.343 0.844
1 4 92 1526.69 0.775
2 10 92 1526.69 0.775
0 4 92 1608.839 0.817
2 7 92 1608.839 0.817
2 6 92 1485.307 0.754
1 3 92 1671.758 0.849
0 2 92 1893.697 0.961
1 7 92 1893.697 0.961
1 2 92 2714.693 1.378
0 2 92 2714.693 1.378
0 1 92 3116.862 1.582
0 3 92 5259.696 2.67
1 2 92 4942.996 2.509
2 2 92 4942.996 2.509
0 1 93 1632.291 0.778
0 3 93 1632.291 0.778
0 1 93 1827.301 0.871
0 3 93 1798.143 0.857
0 3 93 1551.424 0.74
1 2 93 1844.54 0.88
1 1 93 2099.727 1.001
0 1 93 2099.727 1.001
0 1 93 3082.68 1.47
1 1 93 2991.086 1.426
0 1 93 3890.314 1.855
0 1 93 1787.441 0.852
1 2 93 1641.581 0.783
1 2 93 1641.581 0.783
1 2 93 1607.165 0.766
0 2 93 1607.165 0.766
0 1 93 1483.762 0.708
0 4 93 1745.177 0.832
0 1 93 1976.863 0.943
0 1 93 1976.863 0.943
0 1 93 3055.954 1.457
0 1 93 5711.516 2.724
1 1 93 5367.611 2.56
