"y" "n" "arrond" "wf" "wn"
2 6 25 1505.056 0.72
2 13 25 1835.826 0.879
1 3 25 2089.808 1
1 9 25 2089.808 1
0 2 25 3110.156 1.489
3 4 25 3110.156 1.489
0 2 25 3017.746 1.444
0 1 25 3257.192 1.559
0 1 25 2979.518 1.426
0 3 25 2979.518 1.426
1 1 25 3437.678 1.645
0 6 25 1821.577 0.872
0 5 25 1821.577 0.872
1 4 25 1672.931 0.801
0 7 25 1672.931 0.801
1 7 25 1599.094 0.765
3 6 25 1599.094 0.765
0 10 25 1476.311 0.707
2 8 25 1873.622 0.897
6 11 25 2122.36 1.016
2 5 25 2122.36 1.016
1 4 25 3149.592 1.508
2 4 25 3149.592 1.508
0 3 25 3616.188 1.731
1 2 25 4995.68 2.391
2 2 25 4694.877 2.247
0 6 31 1335.623 0.699
0 7 31 1335.623 0.699
1 5 31 1495.189 0.782
0 6 31 1495.189 0.782
1 4 31 1656.604 0.866
4 7 31 1656.604 0.866
3 6 31 1429.305 0.748
3 5 31 1660.098 0.868
0 5 31 1889.768 0.988
2 4 31 1889.768 0.988
1 2 31 3064.557 1.603
0 1 31 2973.502 1.555
1 3 31 3741.402 1.957
2 3 31 3422.449 1.79
0 2 31 1412.407 0.739
1 7 31 1412.407 0.739
1 5 31 1297.15 0.678
2 7 31 1297.15 0.678
1 3 31 1472.793 0.77
3 9 31 1472.793 0.77
1 10 31 1359.708 0.711
1 9 31 1607.561 0.841
2 5 31 1820.977 0.952
1 2 31 1820.977 0.952
1 4 31 3018.642 1.579
2 3 31 3018.642 1.579
3 4 31 3465.839 1.813
1 1 31 5916.041 3.094
0 1 31 5560.396 2.908
0 1 31 5560.396 2.908
1 1 31 5225.591 2.733
1 1 31 5225.591 2.733
0 1 32 2626.446 0.808
0 1 32 2626.446 0.808
0 3 32 2940.227 0.905
0 4 32 2987.177 0.919
0 2 32 2987.177 0.919
0 1 32 2577.313 0.793
1 1 32 2943.261 0.906
0 1 32 6841.045 2.105
1 2 32 6257.849 1.925
1 1 32 2749.413 0.846
0 4 32 2525.052 0.777
1 1 32 2371.539 0.73
0 1 32 2664.447 0.82
1 4 33 1216.925 0.747
0 4 33 1216.925 0.747
1 4 33 1362.311 0.836
0 5 33 1362.311 0.836
1 2 33 1378.032 0.846
0 1 33 1378.032 0.846
0 1 33 1188.955 0.73
1 3 33 1311.386 0.805
0 1 33 1492.813 0.917
2 4 33 1492.813 0.917
3 3 33 2281.894 1.401
1 1 33 2281.894 1.401
1 2 33 2214.093 1.359
1 1 33 3007.454 1.846
0 1 33 2751.069 1.689
2 2 33 2751.069 1.689
0 3 33 1279.585 0.786
0 4 33 1175.167 0.721
0 1 33 1196.385 0.735
1 1 33 1196.385 0.735
2 6 33 1104.522 0.678
0 3 33 1204.584 0.74
2 2 33 1364.502 0.838
1 3 33 2162.46 1.328
1 2 33 2162.46 1.328
0 1 33 4769.556 2.928
0 1 33 4482.833 2.752
0 2 34 1787.72 0.754
1 7 34 1787.72 0.754
0 1 34 2001.299 0.845
1 4 34 2001.299 0.845
1 2 34 2152.492 0.908
3 7 34 2152.492 0.908
1 4 34 1857.153 0.784
1 4 34 2102.256 0.887
2 6 34 2393.098 1.01
3 7 34 2393.098 1.01
0 2 34 3611.83 1.524
1 2 34 3611.83 1.524
1 4 34 3504.514 1.479
1 1 34 3992.231 1.685
0 1 34 3992.231 1.685
1 1 34 4606.116 1.944
1 2 34 1889.403 0.797
1 6 34 1889.403 0.797
1 7 34 1735.221 0.732
1 6 34 1735.221 0.732
1 6 34 1892.093 0.798
3 4 34 1892.093 0.798
2 6 34 1746.812 0.737
3 4 34 1963.954 0.829
2 4 34 2224.684 0.939
3 5 34 2224.684 0.939
1 2 34 3508.489 1.481
2 3 34 3508.489 1.481
1 1 34 4028.254 1.7
0 1 34 6997.654 2.953
1 1 34 6576.989 2.775
1 1 34 6576.989 2.775
1 3 35 1198.169 0.76
1 3 35 1198.169 0.76
0 3 35 1341.314 0.851
1 5 35 1341.314 0.851
1 5 35 1437.138 0.912
1 3 35 1437.138 0.912
1 3 35 1239.952 0.786
1 2 35 1539.314 0.976
1 2 35 1752.274 1.111
5 6 35 1752.274 1.111
1 2 35 2969.176 1.883
2 2 35 2880.955 1.827
1 1 35 3886.951 2.465
0 2 35 1256.284 0.797
1 2 35 1256.284 0.797
0 2 35 1153.767 0.732
3 7 35 1153.767 0.732
1 3 35 1269.34 0.805
1 4 35 1269.34 0.805
1 2 35 1171.876 0.743
5 9 35 1451.777 0.921
3 3 35 1644.512 1.043
2 2 35 2914.156 1.848
1 2 35 3345.873 2.122
0 2 36 1328.527 0.685
0 4 36 1328.527 0.685
0 1 36 1487.246 0.767
0 1 36 1487.246 0.767
1 2 36 1655.07 0.854
0 3 36 1655.07 0.854
1 1 36 1427.982 0.737
0 5 36 1531.255 0.79
1 6 36 1743.1 0.899
1 1 36 1743.1 0.899
3 3 36 2764.836 1.426
2 3 36 2764.836 1.426
2 2 36 2682.686 1.384
0 1 36 3072.479 1.585
3 3 36 3072.479 1.585
1 1 36 3544.934 1.828
0 2 36 1408.689 0.727
1 1 36 1408.689 0.727
0 3 36 1293.735 0.667
0 2 36 1293.735 0.667
0 3 36 1451.494 0.749
2 8 36 1451.494 0.749
0 3 36 1340.044 0.691
2 3 36 1418.261 0.732
2 3 36 1606.546 0.829
1 2 36 1606.546 0.829
0 2 36 2640.709 1.362
2 3 36 2640.709 1.362
